537.425964,563.238892,583.219055,593.022766,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,

avg. max avg. throughput in test times
411.030426
avg. BS TX power in all test times
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,
10.000,10.000,10.000,10.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,
avg. mbs all power,avg. cbsd enable number,avg. mbs area all power,avg. cbsd all power
70.000,4.000,40.000,4.000
avg. number of relay UE
653

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,
10.000,10.000,10.000,10.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,
max average power
411.030426

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
-1493,-1125,3,0,0,4,22.269899
1472,-1348,4,0,0,4,22.269899
394,670,1,0,0,0,959.183044
-752,1725,2,1,0,1,42.287476
-1331,-1025,3,1,0,4,22.269899
1616,-811,4,0,0,4,22.269899
1737,1485,1,0,0,4,22.269899
-41,1450,2,0,0,0,779.615051
-192,-1423,3,0,0,0,782.537903
902,-1408,4,0,0,0,738.814148
534,1648,1,0,0,0,728.670105
-1905,1991,2,0,0,1,42.287476
-1648,-170,3,0,0,0,741.468140
142,-464,4,0,0,0,1095.007935
544,795,1,0,0,0,897.364075
-275,1972,2,1,0,1,42.287476
-412,-1672,3,0,0,0,730.387085
981,-1847,4,0,0,4,22.269899
448,1677,1,0,0,0,728.099487
-635,1531,2,0,0,0,741.343689
-171,-1081,3,1,0,4,22.269899
599,-1600,4,0,0,0,732.654541
1725,1662,1,0,0,4,22.269899
-1782,657,2,1,0,1,42.287476
-514,-1182,3,1,0,4,22.269899
23,-1347,4,0,0,0,800.859619
782,1112,1,0,0,0,798.260193
-1111,1719,2,0,0,1,42.287476
-44,-1619,3,0,0,0,747.973755
856,-679,4,1,0,4,22.269899
1277,1030,1,0,0,0,744.274109
-1962,1127,2,0,0,1,42.287476
-1138,-6,3,0,0,0,849.387024
1472,-1973,4,1,0,4,22.269899
1211,136,1,0,0,0,829.701965
-1312,629,2,0,0,0,778.743896
-1672,-772,3,1,0,4,22.269899
1462,-1780,4,1,0,4,22.269899
1336,1268,1,0,0,4,22.269899
-231,627,2,0,0,0,1002.758667
-287,-1820,3,0,0,4,22.269899
1755,-661,4,0,0,4,22.269899
952,1076,1,0,0,0,782.378662
-198,244,2,0,0,0,1220.343018
-984,-1952,3,0,0,4,22.269899
614,-796,4,0,0,0,885.080444
947,1230,1,0,0,0,760.149292
-1313,1763,2,0,0,1,42.287476
-103,-1271,3,1,0,4,22.269899
1978,-354,4,0,0,4,22.269899
1355,210,1,1,0,4,22.269899
-300,42,2,0,0,0,1230.911743
-73,-195,3,0,0,0,1339.072998
1220,-540,4,0,0,0,803.653198
746,1511,1,0,0,0,736.597046
-836,1445,2,0,0,0,739.284302
-772,-1432,3,0,0,0,746.693787
91,-1008,4,1,0,4,22.269899
586,1274,1,0,0,0,789.337524
-1557,795,2,0,0,0,726.056885
-1069,-1941,3,0,0,4,22.269899
1574,-900,4,0,0,4,22.269899
1710,1199,1,0,0,4,22.269899
-582,485,2,0,0,0,966.568665
-1403,-975,3,0,0,0,732.642944
1529,-1950,4,0,0,4,22.269899
662,442,1,0,0,0,952.320312
-144,538,2,1,0,1,42.287476
-57,-823,3,1,0,4,22.269899
1110,-1143,4,1,0,4,22.269899
856,481,1,0,0,0,891.863892
-259,1703,2,0,0,0,730.292419
-230,-553,3,0,0,0,1034.312988
1258,-1330,4,0,0,4,22.269899
30,1995,1,0,0,1,42.287476
-1328,883,2,0,0,0,752.407776
-1107,-1347,3,0,0,0,726.828857
1547,-969,4,0,0,4,22.269899
1140,979,1,0,0,0,769.481201
-440,136,2,0,0,0,1110.077271
-1933,-1458,3,0,0,4,22.269899
1445,-1088,4,0,0,4,22.269899
491,1525,1,0,0,0,751.091736
-1361,1454,2,0,0,1,42.287476
-1875,-1634,3,0,0,4,22.269899
1735,-1669,4,1,0,4,22.269899
1048,1390,1,1,0,1,42.287476
-254,1278,2,1,0,1,42.287476
-1434,-172,3,0,0,0,780.865479
733,-776,4,1,0,4,22.269899
21,1144,1,1,0,1,42.287476
-1558,122,2,0,0,0,758.224304
-1981,-556,3,0,0,4,22.269899
1785,-1095,4,0,0,4,22.269899
1103,800,1,1,0,4,22.269899
-201,628,2,0,0,0,1006.587585
-1304,-1302,3,0,0,4,22.269899
742,-1747,4,0,0,4,22.269899
1901,561,1,1,0,4,22.269899
-1665,1615,2,0,0,1,42.287476
-1843,-1779,3,0,0,4,22.269899
1112,-1461,4,0,0,4,22.269899
918,258,1,0,0,0,900.290894
-760,764,2,0,0,0,865.076355
-965,-1302,3,0,0,0,747.791809
1010,-635,4,0,0,0,835.804321
1643,210,1,1,0,4,22.269899
-1355,124,2,0,0,0,798.001160
-1670,-708,3,0,0,4,22.269899
1694,-1243,4,1,0,4,22.269899
100,229,1,1,0,4,22.269899
-1687,1065,2,0,0,1,42.287476
-1448,-1946,3,1,0,4,22.269899
1030,-148,4,0,0,0,875.148254
688,259,1,1,0,4,22.269899
-6,662,2,1,0,1,42.287476
-99,-370,3,1,0,4,22.269899
1097,-1344,4,0,0,0,728.255920
78,416,1,0,0,0,1134.429932
-1660,1106,2,0,0,1,42.287476
-1946,-795,3,0,0,4,22.269899
1754,-1857,4,0,0,4,22.269899
715,1804,1,0,0,1,42.287476
-896,283,2,0,0,0,904.530701
-489,-1623,3,1,0,4,22.269899
366,-719,4,1,0,4,22.269899
1717,722,1,0,0,4,22.269899
-473,1514,2,1,0,1,42.287476
-1927,-1216,3,0,0,4,22.269899
1296,-1573,4,0,0,4,22.269899
1884,1345,1,0,0,4,22.269899
-1041,1835,2,1,0,1,42.287476
-599,-1872,3,1,0,4,22.269899
