each generation's max average throughput
552.235352,572.524902,572.524902,572.524902,572.524902,572.524902,577.250122,577.250122,577.250122,577.250122,577.250122,577.250122,577.250122,582.789246,582.789246,582.789246,582.789246,586.516479,586.516479,586.516479,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,598.127991,598.127991,598.127991,598.127991,598.127991,598.127991,598.127991,598.127991,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,


the 1st max average throughput times

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,CBSD 11,CBSD 12,CBSD 13,CBSD 14,CBSD 15,CBSD 16,CBSD 17,CBSD 18,CBSD 19,CBSD 20,CBSD 21,CBSD 22,CBSD 23,CBSD 24,CBSD 25,
5.000,5.000,5.000,10.000,0.000,0.000,0.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.625,

max average throughput
441.523499

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
-412,-1672,3,0,0,0,631.297241
981,-1847,4,0,0,3,19.716255
448,1677,1,0,0,0,629.024170
-635,1531,2,0,0,0,642.187500
-171,-1081,3,1,0,3,19.716255
599,-1600,4,0,0,3,19.716255
1725,1662,1,0,0,0,537.751770
-1782,657,2,1,0,3,19.716255
-514,-1182,3,1,0,3,19.716255
23,-1347,4,0,0,0,800.859619
782,1112,1,0,0,0,698.829407
-1111,1719,2,0,0,0,582.193359
-44,-1619,3,0,0,0,648.779785
856,-679,4,1,0,3,19.716255
1277,1030,1,0,0,0,645.101013
-1962,1127,2,0,0,0,553.826294
-1138,-6,3,0,0,0,749.786621
1472,-1973,4,1,0,3,19.716255
1211,136,1,0,0,0,730.159973
-1312,629,2,0,0,0,679.395447
-1672,-772,3,1,0,3,19.716255
1462,-1780,4,1,0,3,19.716255
1336,1268,1,0,0,0,612.133667
-231,627,2,0,0,0,902.896790
-287,-1820,3,0,0,0,612.047729
1755,-661,4,0,0,3,19.716255
952,1076,1,0,0,0,683.014038
-198,244,2,0,0,0,1120.373657
-984,-1952,3,0,0,0,563.564453
614,-796,4,0,0,3,19.716255
947,1230,1,0,0,0,660.890259
-1313,1763,2,0,0,0,561.988159
-103,-1271,3,1,0,3,19.716255
1978,-354,4,0,0,0,686.179138
1355,210,1,1,0,3,19.716255
-300,42,2,0,0,0,1130.940186
-73,-195,3,0,0,0,1239.086426
1220,-540,4,0,0,3,19.716255
746,1511,1,0,0,0,637.468994
-836,1445,2,0,0,0,640.140198
-772,-1432,3,0,0,0,647.506958
91,-1008,4,1,0,3,19.716255
586,1274,1,0,0,0,689.942993
-1557,795,2,0,0,0,626.994690
-1069,-1941,3,0,0,0,559.722595
1574,-900,4,0,0,3,19.716255
1710,1199,1,0,0,0,576.479492
-582,485,2,0,0,0,866.746216
-1403,-975,3,0,0,0,633.539062
1529,-1950,4,0,0,3,19.716255
662,442,1,0,0,0,852.516296
-144,538,2,1,0,3,19.716255
-57,-823,3,1,0,3,19.716255
1110,-1143,4,1,0,3,19.716255
856,481,1,0,0,0,792.161682
-259,1703,2,0,0,0,631.203186
-230,-553,3,0,0,0,934.424011
1258,-1330,4,0,0,3,19.716255
30,1995,1,0,0,0,589.426147
-1328,883,2,0,0,0,653.189453
-1107,-1347,3,0,0,0,627.761719
1547,-969,4,0,0,3,19.716255
1140,979,1,0,0,0,670.175842
-440,136,2,0,0,0,1010.142883
-1933,-1458,3,0,0,0,534.732971
1445,-1088,4,0,0,3,19.716255
491,1525,1,0,0,0,651.880554
-1361,1454,2,0,0,0,589.943481
-1875,-1634,3,0,0,0,527.183044
1735,-1669,4,1,0,3,19.716255
1048,1390,1,1,0,3,19.716255
-254,1278,2,1,0,3,19.716255
-1434,-172,3,0,0,0,681.507568
